round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
1,11,Kedrick Brown,SF,United States,Boston Celtics,Okaloosa-Walton CC,Yes,College Sophmore,2001
1,12,Vladimir Radmanović,PF,FR Yugoslavia,Seattle SuperSonics,FMP (Yugoslavia),No,Playing Internationally,2001
1,13,Richard Jefferson,SF,United States,Houston Rockets,Arizona,Yes,College Junior,2001
1,14,Troy Murphy,PF,United States,Golden State Warriors,Notre Dame,Yes,College Junior,2001
1,15,Steven Hunter,C,United States,Orlando Magic,DePaul,No,College Freshman,2001
1,16,Kirk Haston,PF,United States,Charlotte Hornets,Indiana,No,College Junior,2001
1,17,Michael Bradley,PF,United States,Toronto Raptors,Villanova,No,College Junior,2001
1,18,Jason Collins,C,United States,Houston Rockets,Stanford,Yes,College Senior,2001
1,19,Zach Randolph,PF,United States,Portland Trail Blazers,Michigan State,No,College Freshman,2001
1,20,Brendan Haywood,C,United States,Cleveland Cavaliers,North Carolina,Yes,College Senior,2001
1,21,Joseph Forte,SG,United States,Boston Celtics,North Carolina,Yes,College Sophmore,2001
1,22,Jeryl Sasser,SG,United States,Orlando Magic,SMU,Yes,College Senior,2001
1,23,Brandon Armstrong,SG,United States,Houston Rockets,Pepperdine,Yes,College Junior,2001
1,24,Raül López,PG,Spain,Utah Jazz,Real Madrid (Spain),No,Playing Internationally,2001
1,25,Gerald Wallace,SF,United States,Sacramento Kings,Alabama,No,College Freshman,2001
1,26,Samuel Dalembert,C,Canada,Philadelphia 76ers,Seton Hall,No,College Sophmore,2001
1,27,Jamaal Tinsley,PG,United States,Vancouver Grizzlies,Iowa State,Yes,College Senior,2001
1,28,Tony Parker,PG,France,San Antonio Spurs,Paris Basket Racing,No,College Freshman,2001
1,29,Forfeited pick,,,Minnesota Timberwolves,,No,Playing Internationally,2001
2,30,Trenton Hassell,SG,United States,Chicago Bulls,Austin Peay,No,College Senior,2001
2,31,Gilbert Arenas,PG,United States,Golden State Warriors,Arizona,No,College Sophmore,2001
2,32,Omar Cook,PG,United States,Orlando Magic,St. John's,Yes,College Freshman,2001
2,33,Will Solomon,PG,United States,Vancouver Grizzlies,Clemson,No,College Senior,2001
2,34,Brian Scalabrine,SF,United States,New Jersey Nets,USC,No,College Senior,2001
2,35,Terence Morris,PF,United States,Atlanta Hawks,Maryland,No,College Senior,2001
2,36,Jeff Trepagnier,SG,United States,Cleveland Cavaliers,USC,No,College Senior,2001
2,37,Damone Brown,SF,United States,Philadelphia 76ers,Syracuse,Yes,College Senior,2001
2,38,Mehmet Okur,C,Turkey,Detroit Pistons,Efes Pilsen (Turkey),No,Playing Internationally,2001
2,39,Michael Wright,PF,United States,New York Knicks,Arizona,Yes,College Junior,2001
2,40,Earl Watson,PG,United States,Seattle SuperSonics,UCLA,No,College Senior,2001
2,41,Jamison Brewer,PG,United States,Indiana Pacers,Auburn,No,College Sophmore,2001
2,42,Bobby Simmons,F/G,United States,Seattle SuperSonics,DePaul,No,College Junior,2001
2,43,Eric Chenowith,C,United States,New York Knicks,Kansas,Yes,College Senior,2001
2,44,Kyle Hill,PG,United States,Dallas Mavericks,Eastern Illinois,Yes,College Senior,2001
2,45,Sean Lampley,SF,United States,Chicago Bulls,California,Yes,College Senior,2001
2,46,Loren Woods,C,United States,Minnesota Timberwolves,Arizona,No,College Senior,2001
2,47,Ousmane Cisse,PF,Mali,Denver Nuggets,"St. Jude HS (Montgomery, Alabama)",Yes,Playing Internationally,2001
2,48,Antonis Fotsis,SF,Greece,Vancouver Grizzlies,Panathinaikos (Greece) 1981,Yes,Playing Internationally,2001
2,49,Ken Johnson,C,United States,Miami Heat,Ohio State,No,College Senior,2001
2,50,Ruben Boumtje-Boumtje,C,Cameroon,Portland Trail Blazers,Georgetown,No,College Senior,2001
2,51,Alton Ford,PF,United States,Phoenix Suns,Houston,No,College Freshman,2001
2,52,Andre Hutson,PF,United States,Milwaukee Bucks,Michigan State,No,College Senior,2001
2,53,Jarron Collins,F/C,United States,Utah Jazz,Stanford,No,College Senior,2001
2,54,Kenny Satterfield,PG,United States,Dallas Mavericks,Cincinnati,No,College Sophmore,2001
2,55,Maurice Jeffers,SG,United States,Sacramento Kings,Saint Louis,No,College Senior,2001
2,56,Robertas Javtokas,C,Lithuania,San Antonio Spurs,Lietuvos rytas Vilnius (Lithuania),Yes,Playing Internationally,2001
2,57,Alvin Jones,C,Luxembourg,Philadelphia 76ers,Georgia Tech,No,College Senior,2001
2,58,Bryan Bracey,SF,United States,San Antonio Spurs,Oregon,No,College Senior,2001
1,1,Yao Ming^,C,China,Houston Rockets,Shanghai Sharks (China),No,Playing Internationally,2002
1,2,Jay Williams,PG,United States,Chicago Bulls,Duke,No,College Junior,2002
1,3,Mike Dunleavy Jr.,SF/SG,United States,Golden State Warriors,Duke,No,College Junior,2002
1,4,Drew Gooden,PF/C,United States,Memphis Grizzlies,Kansas,No,College Junior,2002
1,5,Nikoloz Tskitishvili,PF/C,Georgia,Denver Nuggets,Benetton Treviso (Italy),No,Playing Internationally,2002
1,6,Dajuan Wagner,PG,United States,Cleveland Cavaliers,Memphis,No,College Freshman,2002
1,7,Nenê Hilario,C/PF,Brazil,New York Knicks,Vasco da Gama (Brazil),Yes,Playing Internationally,2002
1,8,Chris Wilcox,PF/C,United States,Los Angeles Clippers,Maryland,Yes,College Sophmore,2002
1,9,Amar'e Stoudemire,PF/C,United States,Phoenix Suns,"Cypress Creek HS (Orlando, Florida)",No,Playing Internationally,2002
1,10,Caron Butler,SF,United States,Miami Heat,Connecticut,No,College Sophmore,2002
1,11,Jared Jeffries,PF/C,United States,Washington Wizards,Indiana,No,College Sophmore,2002
1,12,Melvin Ely,C/PF,United States,Los Angeles Clippers,Fresno State,No,College Freshman,2002
1,13,Marcus Haislip,PF,United States,Milwaukee Bucks,Tennessee,No,College Junior,2002
1,14,Fred Jones,SG,United States,Indiana Pacers,Oregon,No,College Senior,2002
1,15,Boštjan Nachbar,SF/PF,Slovenia,Houston Rockets,Benetton Treviso (Italy),Yes,Playing Internationally,2002
1,16,Jiří Welsch,SG/SF,Czech Republic,Philadelphia 76ers,Union Olimpija (Slovenia and Adriatic League),Yes,Playing Internationally,2002
1,17,Juan Dixon,PG,United States,Washington Wizards,Maryland,Yes,College Senior,2002
1,18,Curtis Borchardt,C,United States,Orlando Magic,Stanford,Yes,College Junior,2002
1,19,Ryan Humphrey,PF,United States,Utah Jazz,Notre Dame,Yes,College Senior,2002
1,20,Kareem Rush,SG,United States,Toronto Raptors,Missouri,Yes,College Junior,2002
1,21,Qyntel Woods,SF,United States,Portland Trail Blazers,Northeast Mississippi CC,No,College Sophmore,2002
1,22,Casey Jacobsen,SG,United States,Phoenix Suns,Stanford,Yes,College Junior,2002
1,23,Tayshaun Prince,SF,United States,Detroit Pistons,Kentucky,No,College Senior,2002
1,24,Nenad Krstić,C/PF,FR Yugoslavia,New Jersey Nets,Partizan Belgrade (Sinalco Superleague and Adriatic League),No,Playing Internationally,2002
1,25,Frank Williams,PG,United States,Denver Nuggets,Illinois,Yes,College Junior,2002
1,26,John Salmons,SF/SG,United States,San Antonio Spurs,Miami,Yes,College Senior,2002
1,27,Chris Jefferies,SF,United States,Los Angeles Lakers,Fresno State,Yes,College Freshman,2002
1,28,Dan Dickau,PG,United States,Sacramento Kings,Gonzaga,Yes,College Senior,2002
1,29,Forfeited pick,,,Minnesota Timberwolves,,No,Playing Internationally,2002
2,30,Steve Logan,PG,United States,Golden State Warriors,Cincinnati,No,College Senior,2002
2,31,Roger Mason Jr.,SG,United States,Chicago Bulls,Virginia,No,College Junior,2002
2,32,Robert Archibald,PF,United Kingdom,Memphis Grizzlies,Illinois,No,College Senior,2002
2,33,Vincent Yarbrough,SF,United States,Denver Nuggets,Tennessee,No,College Senior,2002
2,34,Dan Gadzuric,C,Netherlands,Milwaukee Bucks,UCLA,Yes,College Senior,2002
2,35,Carlos Boozer,PF,United States,Cleveland Cavaliers,Duke,No,College Junior,2002
2,36,Miloš Vujanić,PG,FR Yugoslavia,New York Knicks,Partizan Belgrade (Sinalco Superleague and Adriatic League),No,Playing Internationally,2002
2,37,David Andersen,C,Australia,Atlanta Hawks,Virtus Bologna (Italy),No,Playing Internationally,2002
2,38,Tito Maddox,PG,United States,Houston Rockets,Fresno State,Yes,College Freshman,2002
2,39,Rod Grizzard,SG,United States,Washington Wizards,Alabama,Yes,College Junior,2002
2,40,Juan Carlos Navarro,PG,Spain,Washington Wizards,FC Barcelona (Spain),No,Playing Internationally,2002
2,41,Mario Kasun,C,Croatia,Los Angeles Clippers,Opel Skyliners (Germany),No,Playing Internationally,2002
2,42,Ronald Murray,SG,United States,Milwaukee Bucks,Shaw,No,College Senior,2002
2,43,Jason Jennings,C,United States,Portland Trail Blazers,Arkansas State,Yes,College Senior,2002
2,44,Lonny Baxter,PF,United States,Chicago Bulls,Maryland,Yes,College Senior,2002
2,45,Sam Clancy,PF,United States,Philadelphia 76ers,USC,No,College Senior,2002
2,46,Matt Barnes,SF,United States,Memphis Grizzlies,UCLA,Yes,College Senior,2002
2,47,Jamal Sampson,C,United States,Utah Jazz,California,Yes,College Freshman,2002
2,48,Chris Owens,PF,United States,Milwaukee Bucks,Texas,Yes,College Senior,2002
2,49,Peter Fehse,PF,Germany,Seattle SuperSonics,Halle (Germany),No,Playing Internationally,2002
2,50,Darius Songaila,PF,Lithuania,Boston Celtics,Wake Forest,No,College Senior,2002
2,51,Federico Kammerichs,SF,Argentina,Portland Trail Blazers,Ourense (Spain),No,Playing Internationally,2002
2,52,Marcus Taylor,PG,United States,Minnesota Timberwolves,Michigan State,No,College Sophmore,2002
2,53,Rasual Butler,SF,United States,Miami Heat,La Salle,Yes,College Senior,2002
2,54,Tamar Slay,SG,United States,New Jersey Nets,Marshall,No,College Senior,2002
2,55,Mladen Šekularac,SG,FR Yugoslavia,Dallas Mavericks,FMP Železnik (Sinalco Superleague and Adriatic League),No,Playing Internationally,2002
2,56,Luis Scola,PF,Argentina,San Antonio Spurs,TAU Cerámica (Spain),Yes,Playing Internationally,2002
2,57,Randy Holcomb,PF,United States,San Antonio Spurs,San Diego State,Yes,College Senior,2002
2,58,Corsley Edwards,PF,United States,Sacramento Kings,Central Connecticut,No,College Senior,2002
1,1,LeBron James,SF/PF,United States,Cleveland Cavaliers,"St. Vincent–St. Mary HS (Akron, Ohio)",No,Playing Internationally,2003
1,2,Darko Miličić,C,Serbia and Montenegro,Detroit Pistons,Hemofarm Vršac (Serbia and Montenegro),Yes,Playing Internationally,2003
1,3,Carmelo Anthony,SF/PF,United States,Denver Nuggets,Syracuse,No,College Freshman,2003
1,4,Chris Bosh^,PF/C,United States,Toronto Raptors,Georgia Tech,No,College Freshman,2003
1,5,Dwyane Wade,SG,United States,Miami Heat,Marquette,No,College Junior,2003
1,6,Chris Kaman,C,United States,Los Angeles Clippers,Central Michigan,No,College Junior,2003
1,7,Kirk Hinrich,PG,United States,Chicago Bulls,Kansas,No,College Senior,2003
1,8,T. J. Ford,PG,United States,Milwaukee Bucks,Texas,Yes,College Sophmore,2003
1,9,Michael Sweetney,PF,United States,New York Knicks,Georgetown,No,College Junior,2003
1,10,Jarvis Hayes,F/G,United States,Washington Wizards,Georgia,No,College Junior,2003
1,11,Mickaël Piétrus,G/F,France,Golden State Warriors,Pau-Orthez,No,College Freshman,2003
1,12,Nick Collison,PF,United States,Seattle SuperSonics,Kansas,No,College Senior,2003
1,13,Marcus Banks,PG,United States,Memphis Grizzlies,UNLV,Yes,College Senior,2003
1,14,Luke Ridnour,PG,United States,Seattle SuperSonics,Oregon,Yes,College Junior,2003
1,15,Reece Gaines,F/G,United States,Orlando Magic,Louisville,No,College Senior,2003
1,16,Troy Bell,PG,United States,Boston Celtics,Boston College,Yes,College Senior,2003
1,17,Žarko Čabarkapa,SF,Serbia and Montenegro,Phoenix Suns,Budućnost Podgorica (Serbia and Montenegro and Adriatic League),No,Playing Internationally,2003
1,18,David West,PF,United States,New Orleans Hornets,Xavier,No,College Senior,2003
1,19,Sasha Pavlović,F/G,Serbia and Montenegro,Utah Jazz,Budućnost Podgorica (Serbia and Montenegro and Adriatic League),No,Playing Internationally,2003
1,20,Dahntay Jones,SG,United States,Boston Celtics,Duke,Yes,College Senior,2003
1,21,Boris Diaw,PF,France,Atlanta Hawks,Pau-Orthez,Yes,College Freshman,2003
1,22,Zoran Planinić,G/F,Croatia,New Jersey Nets,Cibona Zagreb (Croatia and Adriatic League),No,Playing Internationally,2003
1,23,Travis Outlaw,SF,United States,Portland Trail Blazers,"Starkville HS (Starkville, Mississippi)",No,Playing Internationally,2003
1,24,Brian Cook,PF,United States,Los Angeles Lakers,Illinois,No,College Senior,2003
1,25,Carlos Delfino,SG,Argentina,Detroit Pistons,Skipper Bologna (Italy),No,Playing Internationally,2003
1,26,Ndudi Ebi,SF,United Kingdom,Minnesota Timberwolves,"Westbury Christian HS (Houston, Texas)",No,Playing Internationally,2003
1,27,Kendrick Perkins,C,United States,Memphis Grizzlies,"Ozen HS (Beaumont, Texas)",Yes,Playing Internationally,2003
1,28,Leandro Barbosa,SG,Brazil,San Antonio Spurs,Bauru Tilibra (Brazil),Yes,Playing Internationally,2003
1,29,Josh Howard,F/G,United States,Dallas Mavericks,Wake Forest,No,College Senior,2003
2,30,Maciej Lampe,PF,Poland,New York Knicks,Complutense University of Madrid (Spain),Yes,Playing Internationally,2003
2,31,Jason Kapono,F/G,United States,Cleveland Cavaliers,UCLA,No,College Senior,2003
2,32,Luke Walton,SF,United States,Los Angeles Lakers,Arizona,Yes,College Senior,2003
2,33,Jerome Beasley,PF,United States,Miami Heat,North Dakota,No,College Senior,2003
2,34,Sofoklis Schortsanitis,C,Greece,Los Angeles Clippers,Iraklis BC (Greece),No,Playing Internationally,2003
2,35,Szymon Szewczyk,PF,Poland,Milwaukee Bucks,Braunschweig (Germany),Yes,Playing Internationally,2003
2,36,Mario Austin,PF,United States,Chicago Bulls,Mississippi State,No,College Junior,2003
2,37,Travis Hansen,SG,United States,Atlanta Hawks,BYU,No,College Senior,2003
2,38,Steve Blake,PG,United States,Washington Wizards,Maryland,No,College Senior,2003
2,39,Slavko Vraneš,C,Serbia and Montenegro,New York Knicks,Budućnost Podgorica (Serbia and Montenegro and Adriatic League),No,Playing Internationally,2003
2,40,Derrick Zimmerman,PG,United States,Golden State Warriors,Mississippi State,No,College Senior,2003
2,41,Willie Green,SG,United States,Seattle SuperSonics,Detroit,Yes,College Senior,2003
2,42,Zaza Pachulia,PF,Georgia,Orlando Magic,Ülkerspor (Turkey),No,Playing Internationally,2003
2,43,Keith Bogans,SG,United States,Milwaukee Bucks,Kentucky,Yes,College Senior,2003
2,44,Malick Badiane,PF,Senegal,Houston Rockets,Langen (Germany),No,Playing Internationally,2003
2,45,Matt Bonner,F,United States,Chicago Bulls,Florida,Yes,College Senior,2003
2,46,Sani Bečirović,SG,Slovenia,Denver Nuggets,Virtus Bologna (Italy),Yes,Playing Internationally,2003
2,47,Mo Williams,PG,United States,Utah Jazz,Alabama,No,College Sophmore,2003
2,48,James Lang,C,United States,New Orleans Hornets,"Central Park Christian HS (Birmingham, Alabama)",No,Playing Internationally,2003
2,49,James Jones,SF,United States,Indiana Pacers,Miami,No,College Senior,2003
2,50,Paccelis Morlende,PG,France,Philadelphia 76ers,Dijon,Yes,College Freshman,2003
2,51,Kyle Korver,SG,United States,New Jersey Nets,Creighton,Yes,College Senior,2003
2,52,Remon van de Hare,C,Netherlands,Toronto Raptors,FC Barcelona (Spain),Yes,Playing Internationally,2003
2,53,Tommy Smith,PF,United States,Chicago Bulls,Arizona State,Yes,College Senior,2003
2,54,Nedžad Sinanović,C,Bosnia and Herzegovina,Portland Trail Blazers,Brotnjo (Bosnia and Herzegovina),No,Playing Internationally,2003
2,55,Rick Rickert,PF,United States,Minnesota Timberwolves,Minnesota,No,College Sophmore,2003
2,56,Brandon Hunter,PF,United States,Boston Celtics,Ohio,Yes,College Senior,2003
2,57,Xue Yuyang,C,China,Dallas Mavericks,Hong Kong Flying Dragons (China),Yes,Playing Internationally,2003
2,58,Andreas Glyniadakis,C,Greece,Detroit Pistons,AEK (Greece),Yes,Playing Internationally,2003
1,1,Dwight Howard,C/PF,United States,Orlando Magic,Southwest Atlanta Christian Academy,No,College Sophmore,2004
1,2,Emeka Okafor,PF/C,United States,Charlotte Bobcats,Connecticut,Yes,College Junior,2004
1,3,Ben Gordon,SG,United Kingdom,Chicago Bulls,Connecticut,No,College Junior,2004
1,4,Shaun Livingston,PG,United States,Los Angeles Clippers,"Peoria HS (Peoria, Illinois)",Yes,Playing Internationally,2004
1,5,Devin Harris,PG,United States,Washington Wizards,Wisconsin,Yes,College Junior,2004
1,6,Josh Childress,G/F,United States,Atlanta Hawks,Stanford,No,College Junior,2004
1,7,Luol Deng,SF,United Kingdom,Phoenix Suns,Duke,Yes,College Freshman,2004
1,8,Rafael Araújo,C,Brazil,Toronto Raptors,BYU,No,College Senior,2004
1,9,Andre Iguodala,SF,United States,Philadelphia 76ers,Arizona,No,College Sophmore,2004
1,10,Luke Jackson,SF,United States,Cleveland Cavaliers,Oregon,No,College Senior,2004
1,11,Andris Biedriņš,C,Latvia,Golden State Warriors,Skonto (Latvia),No,Playing Internationally,2004
1,12,Robert Swift,C,United States,Seattle SuperSonics,"Bakersfield HS (Bakersfield, California)",No,Playing Internationally,2004
1,13,Sebastian Telfair,PG,United States,Portland Trail Blazers,"Lincoln HS (Brooklyn, New York)",No,Playing Internationally,2004
1,14,Kris Humphries,PF,United States,Utah Jazz,Minnesota,No,College Freshman,2004
1,15,Al Jeffersonx,PF/C,United States,Boston Celtics,"Prentiss HS (Prentiss, Mississippi)",No,Playing Internationally,2004
1,16,Kirk Snyder,SG,United States,Utah Jazz,Nevada,Yes,College Junior,2004
1,17,Josh Smith,SF,United States,Atlanta Hawks,"Oak Hill Academy (Mouth of Wilson, Virginia)",Yes,Playing Internationally,2004
1,18,J. R. Smith,SG,United States,New Orleans Hornets,"St. Benedict's Prep (Newark, New Jersey)",No,Playing Internationally,2004
1,19,Dorell Wright,SF,United States,Miami Heat,South Kent School,No,College Sophmore,2004
1,20,Jameer Nelson,PG,United States,Denver Nuggets,Saint Joseph's,Yes,College Senior,2004
1,21,Pavel Podkolzin,C,Russia,Utah Jazz,Metis Varese (Italy),Yes,Playing Internationally,2004
1,22,Victor Khryapa,SF,Russia,New Jersey Nets,CSKA Moscow (Russia),Yes,Playing Internationally,2004
1,23,Sergei Monia,SG,Russia,Portland Trail Blazers,CSKA Moscow (Russia),Yes,Playing Internationally,2004
1,24,Delonte West,PG,United States,Boston Celtics,Saint Joseph's,Yes,College Junior,2004
1,25,Tony Allen,SG,United States,Boston Celtics,Oklahoma State,Yes,College Senior,2004
1,26,Kevin Martin,SG,United States,Sacramento Kings,Western Carolina,No,College Junior,2004
1,27,Saša Vujačić,SG,Slovenia,Los Angeles Lakers,Snaidero Udine (Italy),No,Playing Internationally,2004
1,28,Beno Udrih,PG,Slovenia,San Antonio Spurs,Breil Milano (Italy),No,Playing Internationally,2004
1,29,David Harrison,C,United States,Indiana Pacers,Colorado,No,College Junior,2004
1,–,Forfeited Pick,,,Minnesota Timberwolves,,No,Playing Internationally,2004
2,30,Anderson Varejão,C,Brazil,Orlando Magic,FC Barcelona (Spain),Yes,Playing Internationally,2004
2,31,Jackson Vroman,C,Lebanon,Chicago Bulls,Iowa State,Yes,College Senior,2004
2,32,Peter John Ramos,C,Puerto Rico,Washington Wizards,Caguas (Puerto Rico),No,Playing Internationally,2004
2,33,Lionel Chalmers,PG,United States,Los Angeles Clippers,Xavier,Yes,College Senior,2004
2,34,Donta Smith,SF,Venezuela,Atlanta Hawks,Southeastern Illinois,No,College Sophmore,2004
2,35,Andre Emmett,F/G,United States,Seattle SuperSonics,Texas Tech,Yes,College Senior,2004
2,36,Antonio Burks,PG,United States,Orlando Magic,Memphis,Yes,College Senior,2004
2,37,Royal Ivey,PG,United States,Atlanta Hawks,Texas,Yes,College Senior,2004
2,38,Chris Duhon,PG,United States,Chicago Bulls,Duke,Yes,College Senior,2004
2,39,Albert Miralles,PF,Spain,Toronto Raptors,Roseto Basket (Italy),Yes,Playing Internationally,2004
2,40,Justin Reed,SF,United States,Boston Celtics,Mississippi,No,College Senior,2004
2,41,David Young,G,United States,Seattle SuperSonics,North Carolina Central,No,College Senior,2004
2,42,Viktor Sanikidze,SF,Georgia,Atlanta Hawks,Dijon,Yes,College Freshman,2004
2,43,Trevor Ariza,SF,United States,New York Knicks,UCLA,No,College Freshman,2004
2,44,Tim Pickett,SG,United States,New Orleans Hornets,Florida State,No,College Senior,2004
2,45,Bernard Robinson,SF,United States,Charlotte Bobcats,Michigan,Yes,College Senior,2004
2,46,Ha Seung-Jin,C,South Korea,Portland Trail Blazers,Yonsei University,No,College Sophmore,2004
2,47,Pape Sow,PF,Senegal,Miami Heat,Cal State Fullerton,Yes,College Senior,2004
2,48,Ricky Minard,SG,United States,Sacramento Kings,Morehead State,Yes,College Senior,2004
2,49,Sergei Lishouk,PF,Ukraine,Memphis Grizzlies,Khimik Yuzhny (Ukraine),Yes,Playing Internationally,2004
2,50,Vassilis Spanoulis,PG,Greece,Dallas Mavericks,Maroussi (Greece),Yes,Playing Internationally,2004
2,51,Christian Drejer,SF,Denmark,New Jersey Nets,FC Barcelona (Spain),No,Playing Internationally,2004
2,52,Romain Sato,SG,Central African Republic,San Antonio Spurs,Xavier,Yes,College Senior,2004
2,53,Matt Freije,SF,Lebanon,Miami Heat,Vanderbilt,Yes,College Senior,2004
2,54,Rickey Paulding,SG,United States,Detroit Pistons,Missouri,No,College Senior,2004
2,55,Luis Flores,PG,Dominican Republic,Houston Rockets,Manhattan,Yes,College Senior,2004
2,56,Marcus Douthit,PF,Philippines,Los Angeles Lakers,Providence,No,College Senior,2004
2,57,Sergei Karaulov,G,Russia,San Antonio Spurs,Skha Jakutia Yakutsk (Russia),No,Playing Internationally,2004
2,58,Blake Stepp,PG,United States,Minnesota Timberwolves,Gonzaga,No,College Senior,2004
2,59,Rashad Wright,G,United States,Indiana Pacers,Georgia,No,College Senior,2004
1,1,Andrew Bogutx,C,Australia,Milwaukee Bucks,Utah,No,College Sophmore,2005
1,2,Marvin Williams,F,United States,Atlanta Hawks,North Carolina,No,College Freshman,2005
1,3,Deron Williams,PG,United States,Utah Jazz,Illinois,Yes,College Junior,2005
1,4,Chris Paul,PG,United States,New Orleans Hornets,Wake Forest,No,College Sophmore,2005
1,5,Raymond Felton,PG,United States,Charlotte Bobcats,North Carolina,No,College Junior,2005
1,6,Martell Webster,G/F,United States,Portland Trail Blazers,Seattle Prep. School (Seattle),Yes,Playing Internationally,2005
1,7,Charlie Villanueva,F,United States Dominican Republic,Toronto Raptors,Connecticut,No,College Sophmore,2005
1,8,Channing Frye,C,United States,New York Knicks,Arizona,No,College Senior,2005
1,9,Ike Diogu,F,Nigeria,Golden State Warriors,Arizona State,No,College Junior,2005
1,10,Andrew Bynum,C,United States,Los Angeles Lakers,"St. Joseph HS (Metuchen, New Jersey)",No,Playing Internationally,2005
1,11,Fran Vázquez,F/C,Spain,Orlando Magic,Unicaja Málaga (Spain),No,Playing Internationally,2005
1,12,Yaroslav Korolev,F,Russia,Los Angeles Clippers,CSKA Moscow (Russia),No,Playing Internationally,2005
1,13,Sean May,F,United States,Charlotte Bobcats,North Carolina,Yes,College Junior,2005
1,14,Rashad McCants,G,United States,Minnesota Timberwolves,North Carolina,No,College Junior,2005
1,15,Antoine Wright,G/F,United States,New Jersey Nets,Texas A&M,No,College Junior,2005
1,16,Joey Graham,F,United States,Toronto Raptors,Oklahoma State,Yes,College Senior,2005
1,17,Danny Granger,SF,United States,Indiana Pacers,New Mexico,No,College Senior,2005
1,18,Gerald Green,G/F,United States,Boston Celtics,"Gulf Shores Academy (Houston, Texas)",No,Playing Internationally,2005
1,19,Hakim Warrick,F,United States,Memphis Grizzlies,Syracuse,No,College Senior,2005
1,20,Julius Hodge,G,Antigua and Barbuda,Denver Nuggets,NC State,Yes,College Senior,2005
1,21,Nate Robinson,G,United States,Phoenix Suns,Washington,Yes,College Junior,2005
1,22,Jarrett Jack,G,United States,Denver Nuggets,Georgia Tech,Yes,College Junior,2005
1,23,Francisco García,G/F,Dominican Republic,Sacramento Kings,Louisville,No,College Junior,2005
1,24,Luther Head,G,United States,Houston Rockets,Illinois,No,College Senior,2005
1,25,Johan Petro,C,France,Seattle SuperSonics,Pau-Orthez,No,College Freshman,2005
1,26,Jason Maxiell,F,United States,Detroit Pistons,Cincinnati,No,College Senior,2005
1,27,Linas Kleiza,F,Lithuania,Portland Trail Blazers,Missouri,Yes,College Sophmore,2005
1,28,Ian Mahinmi,F/C,France,San Antonio Spurs,Le Havre,No,College Freshman,2005
1,29,Wayne Simien,F,United States,Miami Heat,Kansas,No,College Senior,2005
1,30,David Lee,PF,United States,New York Knicks,Florida,Yes,College Senior,2005
2,31,Salim Stoudamire,G,United States,Atlanta Hawks,Arizona,No,College Senior,2005
2,32,Daniel Ewing,G,United States,Los Angeles Clippers,Duke,Yes,College Senior,2005
2,33,Brandon Bass,F,United States,New Orleans Hornets,LSU,No,College Sophmore,2005
2,34,C. J. Miles,G,United States,Utah Jazz,Skyline HS (Dallas),No,Playing Internationally,2005
2,35,Ricky Sánchez,F,Puerto Rico,Portland Trail Blazers,"IMG Academy (Bradenton, Florida)",Yes,Playing Internationally,2005
2,36,Ersan İlyasova,F,Turkey,Milwaukee Bucks,Ülkerspor (Turkey),No,Playing Internationally,2005
2,37,Ronny Turiaf,F,France,Los Angeles Lakers,Gonzaga,Yes,College Senior,2005
2,38,Travis Diener,G,United States Italy,Orlando Magic,Marquette,Yes,College Senior,2005
2,39,Von Wafer,G,United States,Los Angeles Lakers,Florida State,No,College Sophmore,2005
2,40,Monta Ellis,SG,United States,Golden State Warriors,"Lanier HS (Jackson, Mississippi)",No,Playing Internationally,2005
2,41,Roko Ukić,G,Croatia,Toronto Raptors,KK Split (Croatia),Yes,Playing Internationally,2005
2,42,Chris Taft,F,United States,Golden State Warriors,Pittsburgh,Yes,College Sophmore,2005
2,43,Mile Ilić,C,Serbia and Montenegro,New Jersey Nets,KK Reflex (Serbia and Montenegro),No,Playing Internationally,2005
2,44,Martynas Andriuškevičius,C,Lithuania,Orlando Magic,Žalgiris Kaunas (Lithuania),Yes,Playing Internationally,2005
2,45,Lou Williams,SG,United States,Philadelphia 76ers,South Gwinnett HS,No,College Sophmore,2005
2,46,Erazem Lorbek,F,Slovenia,Indiana Pacers,Climamio Bologna (Italy),No,Playing Internationally,2005
2,47,Bracey Wright,G,United States,Minnesota Timberwolves,Indiana,No,College Junior,2005
2,48,Mickaël Gelabale,F,France,Seattle SuperSonics,Real Madrid (Spain),Yes,Playing Internationally,2005
2,49,Andray Blatche,F,Philippines,Washington Wizards,South Kent School,No,College Sophmore,2005
2,50,Ryan Gomes,F,United States,Boston Celtics,Providence,No,College Senior,2005
2,51,Robert Whaley,C,United States,Utah Jazz,Walsh,Yes,College Senior,2005
2,52,Axel Hervelle,F,Belgium,Denver Nuggets,Real Madrid (Spain),No,Playing Internationally,2005
2,53,Orien Greene,G,United States,Boston Celtics,Louisiana-Lafayette,Yes,College Senior,2005
2,54,Dijon Thompson,G/F,United States,New York Knicks,UCLA,Yes,College Senior,2005
2,55,Lawrence Roberts,F,United States,Seattle SuperSonics,Mississippi State,Yes,College Senior,2005
2,56,Amir Johnson,F,United States,Detroit Pistons,Westchester HS (Los Angeles),No,Playing Internationally,2005
2,57,Marcin Gortat,F/C,Poland,Phoenix Suns,RheinEnergie Köln (Germany),Yes,Playing Internationally,2005
